Infodevice-Id,Infodevice-Name,Infolink-Direction,Infolink-Name,Latitude,Longitude
OpenTMS-Detector44436,BNDS03,e,US-30E,42.027816,-93.793914
OpenTMS-Detector44451,BNDS04,e,US-30E,42.023046,-93.776963
OpenTMS-Detector44497,CBDS01,e,I-80E,41.231774,-95.9071
OpenTMS-Detector44544,CBDS20,e,I-80E,41.233357,-95.82817
OpenTMS-Detector44601,CBDS25,w,I-80W,41.284106,-95.782972
OpenTMS-Detector44630,CBDS27,n,I-29N,41.189351,-95.823082
OpenTMS-Detector44887,CBDS45,s,I-29S,41.287385,-95.867591
OpenTMS-Detector44916,CBDS47,n,I-29N,41.343977,-95.892458
OpenTMS-Detector44947,CBDS49,e,I-680E,41.35402,-95.900831
OpenTMS-Detector44964,CBDS50,s,I-29S,41.359898,-95.901295
OpenTMS-Detector44996,CBDS52,s,I-29S,41.174461,-95.823876
OpenTMS-Detector45024,CBDS55,n,I-29N,41.23315,-95.88304
OpenTMS-Detector45065,CBDS61,n,I-29N,41.23315,-95.89101
OpenTMS-Detector45095,CBDS72,e,I-80E,41.23184,-95.90115
OpenTMS-Detector45160,CBDS76,s,I-29S,41.220195,-95.832254
OpenTMS-Detector45382,CRDS06,s,I-380S,41.93018,-91.67008
OpenTMS-Detector45409,CRDS08,s,I-380S,41.935402,-91.669297
OpenTMS-Detector45444,CRDS10,n,I-380N,41.948081,-91.670594
OpenTMS-Detector45463,CRDS11,s,I-380S,41.9533,-91.671242
OpenTMS-Detector45482,CRDS12,s,I-380S,41.960394,-91.671124
OpenTMS-Detector45517,CRDS14,s,I-380S,41.972459,-91.674953
OpenTMS-Detector45650,CRDS23,n,I-380N,41.993556,-91.664694
OpenTMS-Detector45668,CRDS24,s,I-380S,41.998846,-91.667243
OpenTMS-Detector45838,CRDS34,n,I-380N,42.042607,-91.67939
OpenTMS-Detector45885,CRDS37,w,US-30W,41.962712,-91.782039
OpenTMS-Detector45917,CRDS39,e,US-30E,41.948776,-91.755493
OpenTMS-Detector45992,CRDS44,w,US-30W,41.927707,-91.677488
OpenTMS-Detector46104,CRDS51,e,US-30E,41.926319,-91.637114
OpenTMS-Detector46150,CRDS54,e,US-30E,41.924766,-91.570109
OpenTMS-Detector46180,CRDS56,s,US-151S,41.929656,-91.543113
OpenTMS-Detector46573,DMDS20,w,I-235W,41.5934,-93.665717
OpenTMS-Detector46628,DMDS23,e,I-235E,41.593068,-93.715831
OpenTMS-Detector46700,DMDS27,w,I-235W,41.592402,-93.777796
OpenTMS-Detector47195,DMDS60,s,I-35S,41.563247,-93.777207
OpenTMS-Detector47434,DMDS77,w,I-80W,41.66214,-93.493558
OpenTMS-Detector47452,DMDS78,w,I-80W,41.6631,-93.478731
OpenTMS-Detector47639,DMDS91,w,I-80W,41.651992,-93.688825
OpenTMS-Detector47973,ICDS10,e,I-80E,41.686588,-91.504632
OpenTMS-Detector48006,ICDS12,w,I-80W,41.667812,-91.424474
OpenTMS-Detector48747,SCDS34,n,IA-12N,42.49101,-96.409984
OpenTMS-Detector48895,SCDS09,n,I-29N,42.471879,-96.381895
OpenTMS-Detector48962,SCDS13,s,I-29S,42.491632,-96.430522
OpenTMS-Detector49050,SCDS19,e,US-20E,42.44331,-96.352618
OpenTMS-Detector49116,SCDS23,e,US-20E,42.470972,-96.32325
OpenTMS-Detector49195,SCDS31,n,I-29N,42.485067,-96.392011
OpenTMS-Detector49532,WLDS16,n,I-380N,42.460908,-92.31385
OpenTMS-Detector49550,WLDS17,n,I-380N,42.469142,-92.318537
OpenTMS-Detector49567,WLDS18,s,I-380S,42.473801,-92.32236
OpenTMS-Detector856899919,CBDS87,w,I-80W,41.23234,-95.831755
OpenTMS-Detector1211181988,CRDS01,n,I-380N,41.867105,-91.669302
OpenTMS-Detector1211392414,CRDS03,s,I-380S,41.906282,-91.672235
OpenTMS-Detector2713822754,CBDS92,e,I-80E,41.232168,-95.856887
OpenTMS-Detector3337589607,ICDS40 - I-80E @ MM 240,e,I-80E,41.69411,-91.62197
OpenTMS-Detector3553391280,IWZ3360 - US 218N @ MM 96.8,n,US-218N,41.691121,-91.63631
OpenTMS-Detector3870810782,CBDS32 - I-29 N @ MM 52.8,n,I-29N,41.248984,-95.906704
OpenTMS-Detector1039040772,80DS85,w,I-80W,41.49613,-94.45818
OpenTMS-Detector47833,ICDS02,e,I-80E,41.693756,-91.666866
OpenTMS-Detector47919,ICDS07,w,I-80W,41.694016,-91.601319
OpenTMS-Detector48037,ICDS15,s,I-380S,41.723737,-91.642727
OpenTMS-Detector48112,ICDS20,s,I-380S,41.775063,-91.647109
OpenTMS-Detector48127,ICDS21,n,I-380N,41.80077,-91.646194
OpenTMS-Detector48142,ICDS22,s,I-380S,41.81618,-91.653205
OpenTMS-Detector48157,ICDS23,s,I-380S,41.847821,-91.667863
OpenTMS-Detector48186,ICDS29,w,I-80W,41.688117,-91.804777
OpenTMS-Detector48558,QCDS14,w,I-74W,41.534108,-90.515638
OpenTMS-Detector48721,QCDS25,w,I-280W,41.491764,-90.649297
OpenTMS-Detector48844,SCDS06,e,US-20E,42.446215,-96.375109
OpenTMS-Detector49031,SCDS18,w,US-20W,42.44556,-96.366658
OpenTMS-Detector17622152,IWZ3088,n,IA-182N,41.75262,-91.638
OpenTMS-Detector17622163,IWZ257,n,IA-182N,41.70564,-91.60842
OpenTMS-Detector17622174,IWZ3079,n,IA-182N,41.80901,-91.65448
OpenTMS-Detector17622196,IWZ3483,e,US-6E,41.703619,-91.637017
OpenTMS-Detector17622207,IWZ2996,n,US-218N,41.68155,-91.63056
OpenTMS-Detector17622218,IWZ3480 - I-80W @ MM 66.9,w,I-80W,41.69453,-91.63037
OpenTMS-Detector17622229,IWZ3344,s,I-380S,41.761824,-91.642346
OpenTMS-Detector17622240,IWZ3419,s,I-380S,41.744467,-91.642522
OpenTMS-Detector47986767,QCDS31,w,I-74W,41.526388,-90.513502
OpenTMS-Detector48022879,QCDS35,w,I-74W,41.517849,-90.512861
OpenTMS-Detector1210046806,IWZ3116,w,US-34W,40.975875,-91.66521
OpenTMS-Detector1210184440,IWZ3190,e,US-34E,40.979912,-91.700003
OpenTMS-Detector3583693752,IWZ3164 - I-80W @ MM 111.5,w,I-80W,41.543177,-93.986639
OpenTMS-Detector4140379234,QCDS36,e,I-74E,41.51504,-90.51034
OpenTMS-Detector948789636,IWZ3154,e,I-280E,41.502236,-90.668586
OpenTMS-Detector44659,CBDS31,n,I-29N,41.237984,-95.900683
OpenTMS-Detector3986216874,CBDS94 - I-29N @ MM 51.4,n,I-29N,41.233014,-95.89213
OpenTMS-Detector46717,DMDS28,s,I-35S,41.591899,-93.777472
OpenTMS-Detector3541976079,35DS53,s,I-35S,41.322749,-93.780278
OpenTMS-Detector1038920696,80DS90,e,I-80E,41.495927,-94.380564
OpenTMS-Detector1038416373,80DS108,w,I-80W,41.528818,-94.050274
OpenTMS-Detector48558,QCDS14,w,I-74W,41.534108,-90.515638
OpenTMS-Detector17622064,IWZ3555,e,I-80E,41.651592,-93.747261
OpenTMS-Detector17622163,IWZ257,n,IA-182N,41.70564,-91.60842
OpenTMS-Detector47986767,QCDS31,w,I-74W,41.526388,-90.513502
OpenTMS-Detector3879573484,IWZ3184,e,US-6E,41.261163,-95.913523
OpenTMS-Detector44117,AMDS07,s,I-35S,42.007303,-93.57136
OpenTMS-Detector4363049788,RWIS73 - Early - 512073,w,US-20W,42.47376,-95.157404
OpenTMS-Detector1038683639,80DS112,e,I-80E,41.544008,-93.977051
OpenTMS-Detector3258449329,80DS10,w,I-80W,41.30162,-95.77097
OpenTMS-Detector3237665942,80DS25,e,I-80E,41.463044,-95.596143
OpenTMS-Detector1038812870,80DS98,e,I-80E,41.49384,-94.227102
OpenTMS-Detector1159291402,80DS101,e,I-80E,41.517776,-94.18205
OpenTMS-Detector4220090694,CBDS33,s,I-29S,41.251195,-95.907164
OpenTMS-Detector948847182,IWZ3704,e,I-280E,41.489959,-90.646966
OpenTMS-Detector3237523215,29DS73,n,I-29N,41.513324,-95.912433
OpenTMS-Detector4292909848,CBDS41,s,I-29S,41.27361,-95.89595
OpenTMS-Detector1069903903,IWZ3081,w,I-480W,41.261962,-95.906198
OpenTMS-Detector44587,CBDS24,e,I-80E,41.268266,-95.794766
OpenTMS-Detector47069,DMDS52,s,US-65S,41.508193,-93.564689
OpenTMS-Detector48779,SCDS02,s,I-29S,42.397031,-96.36705
OpenTMS-Detector49504,WLDS14,n,I-380N,42.428108,-92.186278
OpenTMS-Detector48810,SCDS04,s,I-29S,42.434002,-96.375147
OpenTMS-Detector45147,CBDS75,n,I-29N,41.23841,-95.90081
OpenTMS-Detector45534,CRDS15,s,IA-922S,41.975688,-91.675971
OpenTMS-Detector45548,CRDS16,s,I-380S,41.97657,-91.676259
OpenTMS-Detector45561,CRDS17,n,I-380N,41.976467,-91.675637
OpenTMS-Detector45588,CRDS19,s,I-380S,41.9797,-91.670925
OpenTMS-Detector45622,CRDS21,n,I-380N,41.989782,-91.661691
OpenTMS-Detector45636,CRDS22,n,I-380N,41.989843,-91.661417
OpenTMS-Detector45706,CRDS26,s,I-380S,42.006641,-91.66625
OpenTMS-Detector44875,CBDS44,n,I-29N,41.285669,-95.867102
OpenTMS-Detector46505,DMDS16,w,I-235W,41.595965,-93.630351
OpenTMS-Detector46259,DMDS02,w,I-235W,41.641117,-93.5765
OpenTMS-Detector47486,DMDS80,w,I-80W,41.672108,-93.444201
OpenTMS-Detector48425,NWDS04,e,I-80E,41.683518,-93.058412
OpenTMS-Detector48997,SCDS16,n,IA-12N,42.493689,-96.46232
OpenTMS-Detector49015,SCDS17,n,I-29N,42.494018,-96.471686
OpenTMS-Detector44859,CBDS43,n,I-29N,41.275214,-95.877933
OpenTMS-Detector44931,CBDS48,n,I-29N,41.3557,-95.900885
OpenTMS-Detector46327,DMDS06,w,I-235W,41.614592,-93.57787
OpenTMS-Detector46664,DMDS25,e,I-235E,41.592066,-93.748116
OpenTMS-Detector46835,DMDS35,e,I-80E,41.649295,-93.626138
OpenTMS-Detector48439,NWDS05,e,I-80E,41.682955,-93.039129
OpenTMS-Detector48453,NWDS06,w,I-80W,41.682723,-92.999912
OpenTMS-Detector48467,NWDS07,w,I-80W,41.680166,-92.941623
OpenTMS-Detector48651,QCDS20,e,I-80E,41.603406,-90.685575
OpenTMS-Detector48826,SCDS05,n,I-29N,42.442044,-96.374896
OpenTMS-Detector49476,WLDS12,s,I-380S,42.448995,-92.199676
OpenTMS-Detector44812,CBDS40,s,RAMP: I-29S TO BENSON STREET S,41.270019,-95.906184
OpenTMS-Detector46442,DMDS12,e,I-235E,41.594566,-93.606039
OpenTMS-Detector47252,DMDS64,w,I-80W,41.591046,-93.811962
OpenTMS-Detector47514,DMDS82,n,I-35N,41.761241,-93.568963
OpenTMS-Detector49518,WLDS15,s,I-380S,42.413626,-92.17304
OpenTMS-Detector47817,ICDS01,e,I-80E,41.694231,-91.686409
OpenTMS-Detector44059,AMDS03,n,I-35N,41.919282,-93.569842
OpenTMS-Detector44162,AMDS12,n,I-35N,42.078,-93.566503
OpenTMS-Detector45426,CRDS09,s,I-380S,41.942205,-91.670293
OpenTMS-Detector46121,CRDS52,e,US-30E,41.925983,-91.617897
OpenTMS-Detector46360,DMDS08,e,I-235E,41.603336,-93.579741
OpenTMS-Detector47216,DMDS62,e,I-80E,41.591853,-93.785859
OpenTMS-Detector47333,DMDS69,s,I-35S,41.541613,-93.775767
OpenTMS-Detector48383,NWDS01,w,I-80W,41.68155,-93.116353
OpenTMS-Detector48397,NWDS02,e,I-80E,41.680814,-93.100486
OpenTMS-Detector48666,QCDS21,w,I-280W,41.602584,-90.677732
OpenTMS-Detector1073514844,DMDS85,n,I-35N,41.849029,-93.57094
OpenTMS-Detector44133,AMDS10,s,I-35S,42.023245,-93.571574
OpenTMS-Detector44559,CBDS22,e,I-80E,41.246633,-95.81485
OpenTMS-Detector45822,CRDS33,s,I-380S,42.037679,-91.677218
OpenTMS-Detector46057,CRDS48,e,US-30E,41.926558,-91.656558
OpenTMS-Detector46682,DMDS26,e,I-235E,41.592021,-93.758608
OpenTMS-Detector46395,DMDS100,e,I-80E,41.592632,-93.773129
OpenTMS-Detector46732,DMDS29,e,I-80E,41.607533,-93.776511
OpenTMS-Detector49149,SCDS26,s,I-29S,42.492337,-96.450631
OpenTMS-Detector44902,CBDS46,s,I-29S,41.321333,-95.88157
OpenTMS-Detector48083,ICDS18,n,US-218N,41.660272,-91.601861
OpenTMS-Detector47528,DMDS83,s,I-35S,41.791275,-93.570848
OpenTMS-Detector47571,DMDS87,e,I-235E,41.648836,-93.574886
OpenTMS-Detector47402,DMDS75,w,I-80W,41.657153,-93.543474
OpenTMS-Detector45932,CRDS40,e,US-30E,41.946561,-91.746646
OpenTMS-Detector2257043686,CBDS89,e,I-80E,41.232244,-95.849541
OpenTMS-Detector46073,CRDS49,e,US-30E,41.926521,-91.648897
OpenTMS-Detector2257003028,CBDS88,e,I-80E,41.232244,-95.849541
OpenTMS-Detector46009,CRDS45,e,US-30E,41.92678,-91.674776
OpenTMS-Detector46088,CRDS50,e,US-30E,41.926471,-91.644676
OpenTMS-Detector46165,CRDS55,n,US-151N,41.92503,-91.540369
OpenTMS-Detector46933,DMDS40,w,I-235W,41.596,-93.636656
OpenTMS-Detector45805,CRDS32,s,I-380S,42.029499,-91.674029
OpenTMS-Detector48589,QCDS16,e,US-6E,41.550949,-90.521342
OpenTMS-Detector46377,DMDS10,e,I-235E,41.597422,-93.59231
OpenTMS-Detector46523,DMDS17,w,I-235W,41.596,-93.636656
OpenTMS-Detector46555,DMDS19,e,I-235E,41.59286,-93.655421
OpenTMS-Detector49388,WLDS06,w,US-20W,42.455273,-92.309338
OpenTMS-Detector46610,DMDS22,e,I-235E,41.592695,-93.700366
OpenTMS-Detector47500,DMDS81,s,I-35S,41.750689,-93.574095
OpenTMS-Detector49165,SCDS29,s,I-29S,42.461821,-96.379373
OpenTMS-Detector46853,DMDS36,e,I-80E,41.649295,-93.612076
OpenTMS-Detector49418,WLDS08,n,I-380N,42.460675,-92.278274
OpenTMS-Detector47992,ICDS11,e,I-80E,41.675398,-91.456531
OpenTMS-Detector2714038223,CBDS93,e,RAMP: I-29S TO IA-192N,41.231836,-95.855518
OpenTMS-Detector46537,DMDS18,e,I-235E,41.595182,-93.647019
OpenTMS-Detector49376,WLDS05,s,I-380S,42.45568,-92.314228
OpenTMS-Detector2644677353,DMDS49,s,US-65S,41.545222,-93.514722
OpenTMS-Detector48620,QCDS18,w,I-74W,41.570995,-90.521896
OpenTMS-Detector46291,DMDS04,e,I-235E,41.631546,-93.574877
OpenTMS-Detector47135,DMDS56,s,IA-5S,41.51338,-93.698957
OpenTMS-Detector46309,DMDS05,e,I-235E,41.62702,-93.574978
OpenTMS-Detector47119,DMDS55,s,IA-5S,41.510549,-93.651908
OpenTMS-Detector45397,CRDS07,s,I-380S,41.932307,-91.670222
OpenTMS-Detector49100,SCDS22,w,US-20W,42.458311,-96.329562
OpenTMS-Detector44981,CBDS51,e,I-680E,41.35238,-95.90625
OpenTMS-Detector49084,SCDS21,e,US-20E,42.450336,-96.335053
OpenTMS-Detector1211479115,CRDS04,n,RAMP: I-380N TO US-30E,41.922406,-91.670228
OpenTMS-Detector47038,DMDS50,s,US-65S,41.525442,-93.519773
OpenTMS-Detector49068,SCDS20,w,US-20W,42.444341,-96.340993
